106,Caris LeVert,Michigan,1.98,93,SF,7
107,Isaac Okoro,Auburn,1.98,102,SF,7
108,Cedi Osman,Turquía,2.01,104,SF,7
109,Evan Mobley,USC,2.13,98,PF,7
110,Kevin Love,UCLA,2.03,114,PF,7
111,Dean Wade,Kansas State,2.06,103,PF,7
112,Lamar Stevens,Penn State,2.03,102,PF,7
113,Jarrett Allen,Texas,2.11,110,C,7
114,Robin Lopez,Stanford,2.13,127,C,7
115,Isaiah Mobley,USC,2.08,109,C,7
116,Mamadi Diakite,Virginia,2.06,102,C,7
117,Tyrese Haliburton,Iowa State,1.96,79,PG,8
118,T.J. McConnell,Arizona,1.88,86,PG,8
119,Andrew Nembhard,Gonzaga,1.96,89,PG,8
120,Chris Duarte,Oregon,1.98,86,SG,8
121,Bennedict Mathurin,Arozona,1.98,95,SG,8
122,Trevelin Queen,New Mexico State,1.98,86,SG,8
123,Buddy Hield,Oklahoma,1.93,100,SF,8
124,Aaron Nesmith,Vanderbilt,1.98,97,SF,8
125,Kendal Brown,Baylor,2.03,93,SF,8
126,Jalen Smith,Maryland,2.08,102,PF,8
127,Oshae Brissett,Syracuse,2.01,95,PF,8
128,Terry Taylor,Austin Peay,1.96,104,PF,8
129,Daniel Theis,Alemania,2.03,111,PF,8
130,James Johnson,Wake Forest,2.01,109,PF,8
131,Myles Turner,Texas,2.11,113,C,8
132,Isaiah Jackson,Kentucky,2.08,93,C,8
133,Goga Bitadze,Serbia,2.11,111,C,8
134,Zach LaVine,UCLA,1.96,92,SG,9
135,Coby White,North Carolina,1.93,87,SG,9
136,Lonzo Ball,UCLA,1.98,86,PG,9
137,Ayo Dosunmu,Illinois,1.93,91,PG,9
138,Goran Dragic,Eslovenia,1.91,86,pg,9
139,Alex Caruso,Texas A&M,1.96,84,SG,9
140,DeMar DeRozan,USC,1.98,100,SF,9
141,Javonte Green,Radford,1.96,93,SF,9
142,Dalen Terry,Arizona,2.01,88,SF,9
143,Malcolm Hill,Illinois,1.98,100,SF,9
144,Patrick Williams,Florida State,2.01,103,PF,9
145,Derrick Jones Jr,UNLV,1.98,95,PF,9
146,Kostas Antetokounmpo,Dayton,2.08,91,PF,9
147,Nikola Vucevic,USC,2.11,118,C,9
148,Andre Drummond,Uconn,2.08,127,C,9
149,Tony Bradley,North Carolina,2.11,112,C,9
150,Marco Simonovic,Serbia,2.13,100,C,9
151,Jrue Holiday,UCLA,1.91,93,PG,10
152,George Hill,UIPUI,1.91,85,PG,10
153,Jevon Carter,West Virginia,1.85,91,PG,10
154,Grayson Allen,Duke,1.93,90,SG,10
155,Pat Connaughton,Notre Dame,1.96,95,SG,10
156,Wesley Matthews,Marquette,1.93,100,SG,10
157,A.J. Green(D),Northern Iowa,1.93,86,SG,10
158,Khris Middleton,Texas A&M,2.01,101,SF,10
159,Jordan Nwora,Louisville,2.01,102,SF,10
160,Marjon Beauchamp,NBA G_League,1.98,90,SF,10
161,Joe Ingles,Israel,2.01,100,SF,10
162,G.Antetokounmpo,Grecia,2.11,110,PF,10
163,Bobby Portis,Arkansas,2.08,113,PF,10
164,T.Antetokounmpo,Grecia,1.98,99,PF,10
165,Brook Lopez,Standford,2.13,128,C,10
166,Serge Ibaka,España,2.13,107,C,10
167,S.Mamukelashvili(D),Seton Hall,2.11,109,C,10
168,Markelle Flutz,Whasington,1.91,95,PG,11
169,Cole Anthony,Noth Carolina,1.91,86,PG,11
170,R.J. Hamptom,Nueva Zelanda,1.98,88,PG,11
171,Jalen Suggs,Gonzaga,1.93,93,SG,11
172,Gary Harris,Michigan State,1.93,95,SG,11
173,Kevon Harrys,Austin,1.98,98,SG,11
174,Franz Wagner,Michigan,2.05,100,SF,11
